,8_2.5d_total,8_6d_total,8_7d_total,8_16d_total,zygote_sc,early2C_sc,mid2C_sc,late2C_sc,4C_sc,8C_sc,16C_sc,midblast_sc,earlyblast_sc,lateblast_sc,ES_sc
9330182L06Rik,2.786694,0.7244550000000001,0.35112185,0.966728,6.522827599999999,7.900378,0.7451399000000001,1.9009354,0.13788801,0.11419731,0.07337989,0.6138695,0.01326935,2.558959,0.014816476
9430015G10Rik,15.7333,10.3224,11.408735,18.2407,34.68357,52.696472,7.1836076,15.666771,19.66132,49.279340000000005,62.109066000000006,94.45903,51.702408,23.85439,21.099638
9430038I01Rik,7.622029999999999,7.162235000000001,6.57676,2.016485,25.50684,11.032454,181.75102,180.72441,56.34035,28.375128000000004,29.813704,19.201868,25.910337,20.296778,30.741997
9430041J12Rik,0.0,0.0,0.0,0.0,0.96911186,0.54204965,0.4174577,0.019254392,0.0058547813,0.1003503,0.029600995,1.0377675,0.053182553,0.0484605,0.47923434
9530068E07Rik,0.0,44.33825,57.46175,61.0098,134.27087,67.192444,50.22044,35.135696,46.686073,12.876712,16.82266,20.572773,20.383646,15.661298,20.128233
9530077C05Rik,0.0,0.0,0.73956,0.31416,0.009426957,1.8126736,4.6502934,3.646543,0.0,0.17109065,0.34680206,0.015880894,5.4704638,1.1368344,2.475003
A430005L14Rik,37.01755,28.8548,29.94275,35.89195,120.228745,127.839096,12.669002,60.40077,244.5685,233.62866,247.00128,151.15884,186.95451,197.3705,144.97006000000002
A430033K04Rik,2.098685,1.55292,1.258545,1.7280800000000005,807.0435,726.8102,19.430204,6.526849,1.469396,1.0830654,0.04363532,7.017691,11.925827,1.8553683,4.2225566
A4galt,9.839225,9.328685,9.78174,9.938035,17.745909,20.263453,49.140232,101.17858,24.566563,2.889494,9.19159,65.69894000000001,27.13147,4.3915334,14.575954
A630001G21Rik,0.12979265,0.139899,0.1181079,0.2502475,0.0,0.1226088999999999,6.405647,8.398886,15.177976999999998,3.929604,1.8533863,1.1470878999999998,2.4438197999999995,0.25024492,0.5598701
A630010A05Rik,0.0,0.0,0.0,0.0,0.12973043,0.3001331,0.069404334,2.7504249,0.0,0.0,0.0023448362,0.0028674593,0.0,0.0,0.0
AA467197,3.28915,3.48406,2.844025,7.192194999999999,0.0,0.0,0.0,1.3920805,2.9612162,28.558008,60.84506999999999,482.01212,404.6252,578.1379400000001,14.162715
AI427809,0.59816,0.0,0.5950555,0.074026,0.2905579,0.016382005,9.679359,37.50707,1.950759,0.099961706,0.14948335,9.560919,4.633228,1.0828856000000002,0.5395179
AI427809,0.59816,0.0,0.5950555,0.074026,0.2905579,0.016382005,9.679359,37.50707,1.950759,0.099961706,0.14948335,9.560919,4.633228,1.0828856000000002,0.5395179
AI597479,10.99395,8.14635,8.724924999999999,12.36135,69.8179,79.01541999999999,12.856854,22.600197,34.63648,33.367863,51.92677,48.30355,45.414547,41.563183,14.290368
AI661453,2.08452,12.73195,13.6588,13.7041,1.754749,0.642768,67.1645,66.70805,59.854496,18.390837,14.090093,6.3072877,4.812509,5.3361764,0.39439192
AI987944,5.740805,2.1172000000000004,2.238587,3.333175,163.20747,194.72343,89.58378,43.69314,7.691986999999999,5.4462385,2.3008523,6.952911,11.631944,13.787399,8.147148
AU040320,10.000235,15.2912,20.53195,22.75875,32.997505,30.755583,24.693785,35.015694,42.361603,23.67194,21.348774,16.923643,28.40735,9.27814,2.9413188
AW146154,0.739699,1.0857515,0.9261975,0.5541670000000001,124.1888,134.9754,47.74794,22.604864000000003,7.644674,11.974185,3.0844781,7.1815367,19.66977,7.0038686000000006,2.2013164
AW554918,1.846385,2.08004,2.179695,1.90234,84.37779,91.28223,70.747475,54.26646,13.645423,11.766334,20.912918,8.120585,12.562663,8.279162,0.8994718
AY074887,0.0,0.0,0.0,0.0,0.41058433,0.26588857,0.91038865,1.554315,1.5908335,3.1260380000000003,4.410744,4.7422543,6.890142999999999,8.13053,1.0760964
Aaas,55.73685,41.93645,46.8712,70.86234999999999,96.01181,134.97778,40.90321,28.36697,77.04383,200.09206,282.26968,255.09465,155.11487,156.97392,161.32153
Aadac,0.0,0.0,0.02299325,0.0,3.1149144,5.843407,0.8057191999999999,0.070507325,0.0,0.0,0.0,0.011469837,0.0,0.0,0.0
Aamp,81.39080000000001,80.562,94.565,75.3724,139.91203000000002,157.75897,82.71096,62.749930000000006,211.87157,480.95612,491.36987,481.40515,506.19977,397.24356,297.81732
Aasdhppt,12.1849,8.64223,8.729205,4.33156,14.510720999999998,15.777727,18.252321,26.80711,165.28613,108.54746000000002,85.59619,138.98623999999998,138.99767,108.40311,70.81226
Aass,0.7443075,0.4615005,0.3683355,1.395225,145.65376,126.15827,17.358696,6.532817,8.710489,2.7744431,0.020267537,0.4679248,0.60267603,0.0046180557,0.5799966999999999
Abcb1b,7.446904999999999,3.073725,2.633495,4.638645,11.130203,11.408655,3.6301281,1.7041953,0.018423121,5.6769114,8.472059,8.559483,5.573718,8.961718,16.658832999999998
