,Ccdc122,Cpb2,Echdc3,Gfra1,Obox2,Rhobtb1,Slco3a1,Thap11,Ust,Gm13078,Gm2016,Gm5662,Gm8300,Obox3,Pramef6,Spz1,Tdpoz1,Cd74,Lysmd1,Parp10,Plk3,Tacr3,Tdpoz3,Tdpoz4,Iqcf1,BC080695,Chrm3,Duoxa2,Fgf7,Gm11487,Gm12794,Gm13083,Hoxa1,Olfr376,Tmem132c,Zfp352,Zfp760,Zscan4c,Zscan4d,Zscan4f
zygote_sc,1.9111005441485414,1.3552573877974143,0.22426102558198502,1.6355237515900418,1.7289006309968655,1.259584373069213,1.6357897921841493,0.4822348518840072,1.6255169289066413,-0.26951471396917887,-0.6962441251716543,-0.6508788254910897,-0.634120456742355,-0.19151829957529354,-0.508930597214131,-0.6958452659880329,-0.5390091969219897,-0.8551802379442551,-0.6001923905802408,-1.022617457105789,-0.17904885996720452,-0.6769743435786448,-0.5702302967463863,-0.48069780610478324,-0.8312262550829568,-0.6600939890822073,1.6678908253258304,-0.7209988941399011,-0.6420826706435518,-0.45746264488807964,-0.5020519741707624,-0.44858416456398875,2.102795451334905,-0.5730710794639422,0.3301474819782032,-0.5646528957907595,0.30332921812659797,-0.5956706139411585,-0.603963930521188,-0.5749523163431692
early2C_sc,2.1187439900080123,1.7827351366841298,0.14554326894314196,1.7431006130393751,1.7132964796704313,1.4260237397065216,1.4767455404561989,0.2857674431847088,1.6881442528583104,0.1994779902270946,0.0025984518036900363,0.04515392844518601,0.09979022528245901,0.24923424334376493,-0.14373606542147277,-0.2217300091198293,-0.3616719491966221,0.1198746552514728,-1.0126994806749725,-0.9844903198785571,-0.7780713410093827,-0.5173997146848014,-0.5238137916671763,-0.5034098411607154,-0.8312262550829568,0.2455764971076417,1.017781211337487,-0.017030941062549734,-0.5400566876815152,0.222827175546137,-0.22868024361035685,0.12617899361097146,1.546911526938708,-0.3358407398492575,-0.4575712377402189,0.46781056303578344,0.27865941254865156,0.049838818941229046,0.3960646728647811,-0.0601836147921153
mid2C_sc,0.7928305624099519,1.4868728068800745,1.9789604705967645,1.3585042960839626,1.006459364491464,0.7395921769862992,1.1778713939521166,1.941148480296779,1.0632353171904416,1.8905168076636758,2.0949894850331687,2.0651563135934414,2.1126284114234086,1.9870841313011216,1.9400622167903319,1.8390461433548921,1.827928766104675,2.5517072454935015,1.8733231588089325,1.6114697610630795,1.6121390454231517,1.947433645368567,2.3433641328197927,1.8038359849075492,1.0419141591465308,2.2331065104715915,1.4140140745818026,2.4158986742364954,2.1845485954146158,2.3376340907005986,2.3321245865031086,2.007892073862585,1.3940945240824345,2.046026020446719,2.1621479024074906,2.0223861779848056,1.5798521816242397,2.268965798485413,2.2413337613750155,2.331591008723145
late2C_sc,-0.2000642904747297,0.7946872067061539,1.6756066364787796,0.5917998088046665,0.658780684834476,1.4908511237452347,0.9224477594488357,1.8694591737522306,0.4584792243662369,1.7266809175708016,1.8291638791386406,1.834924768213777,1.883157897325039,1.9053644126744542,1.7729266480532146,1.794955762914931,1.7127062430782327,1.0964354385561867,2.0475175105126215,1.5338418126378706,1.659988973321785,1.8768103536547682,1.5104828986956107,1.4408217877982665,1.7019942396269967,1.9267091374443117,1.4703323778605417,1.8443156850338918,1.7834842603246253,1.6113151544351167,1.9674141541408585,1.805368967733436,-0.11733158843489769,2.21282511867235,1.8164189790207645,1.8235490008271034,0.913745038527338,1.9974139307604684,1.9993749066123034,1.9626780074003638
4C_sc,-0.765130519027689,-0.7943501008323223,0.21988345220862915,-0.8079045124661457,-0.0944509352500121,0.7205051629748183,-0.44127524539661817,0.35693688394831335,-0.6498991460994269,1.2493121263421836,0.9495986044259838,1.0278274671958159,0.8817672488169642,0.9198091501708648,0.8167752599053696,1.4661765969192373,1.3070980173674933,-1.0489669014916676,0.998260930103132,-0.09256833251572502,0.3119672051115666,1.1437148560789905,1.1848002317426238,1.7875262077295324,0.9311132669993463,0.44184183334328725,-0.3445689641274978,-0.619147764873882,0.9695133679656774,0.834946911613365,0.35446887972410335,0.3809767318642057,-0.7239395056910443,0.45295493450240387,0.35690666100673435,0.9385325949246125,0.24556411870687192,0.35446394361133493,0.10168386141388702,0.3269423720033023
8C_sc,-0.5487974034341887,-0.7943501008323223,0.5075238744155484,-0.7023711183986412,-0.7405565725083149,-0.8804494058702234,-0.5129530750684268,-1.0032535752416853,-1.0787603838955646,-0.24398410437472592,-0.44800826697465856,-0.4280992802976727,-0.40864331939928566,-0.42377615091133725,0.26787301136901087,-0.5010734313897419,0.018412004486722405,0.7007843679379111,-0.30162723910610995,-0.6707990006506112,0.6636324893265163,0.18330189942888944,-0.5377919796387264,0.11698893401269908,1.1630764227438137,-0.30538781995718295,-0.7111132074519384,-0.5504084298552512,-0.5832893163835355,-0.5022050351972209,-0.33528907500641364,0.2918641103577809,-0.7218630409507955,-0.25188985052567897,0.18063467410725312,-0.5179874781047051,-1.3472629230615525,-0.5051319117459517,-0.5385849452142208,-0.5466013975761154
16C_sc,-0.21924578362448044,-0.5944591680058384,-0.023287101845416283,-0.8012326172875059,0.21364074189479987,-0.874729143153956,-0.8093014627934556,-1.1383100254548497,0.6352676251193025,-0.2954377914628238,-0.66964714509077,-0.6542281018237324,-0.48761497823692085,-0.7018445202906782,0.3136939202994909,-0.20230346675129193,0.23000124703608812,-0.2971818666989792,-0.01943131190237565,-1.0201306882201928,0.512893693473175,-0.6705429926488223,-0.5556597114738067,-0.4272734849823017,0.9804856970640098,-0.5812822239164057,-0.7523893862543707,-0.3992133172493583,0.038295804221444504,-0.6444608212380224,-0.5528034904510363,0.37531214996653134,-0.3001076237133092,-0.2950434112005765,-0.7683360967866096,-0.6840491595505824,-1.6637535147260676,-0.5915268964055413,-0.6041519365459622,-0.5732372203249075
E3.5_sc,-0.7697406629479987,-0.7943501008323223,-1.2685682657278423,-0.8079045124661457,-0.9027477879543705,-1.0912463235880419,-1.30051042038916,-0.4045750062426798,-1.0317686527400767,-0.8514102463994051,-0.08046113308385756,-0.2733226852781831,-0.5633266923729695,-0.7500847920492794,-0.8917328787563628,-0.6958452659880329,-0.7068934786672194,0.32604849891016763,-0.47402904379272975,-1.022617457105789,0.03857478119903167,-0.6769743435786448,-0.5702302967463863,-0.7475583564400494,-0.8312262550829568,-0.6600939890822073,-0.7523893862543707,0.2428653607040784,-0.6420826706435518,-0.6805189661943786,-0.6070365674259,-0.9122119534626432,-0.7239395056910443,-0.6529151631600079,-0.8536138120301154,-0.6971177606652516,-1.2237436257875105,-0.5956706139411585,-0.6093538692842289,-0.5749523163431692
E4.5_sc,-0.7230150688547348,-0.7943501008323223,-0.937835661597,-0.8079045124661457,-0.9027477879543705,-1.088060155037174,-1.281729061984064,-1.0895218569486727,-0.982352315933668,-0.8514102463994051,-0.7454974375201353,-0.7416333961393862,-0.7209095840240848,-0.7440137985157776,-0.8917328787563628,-0.6958452659880329,-0.8721429133218453,-0.7574848546689857,-0.7171856796206046,0.8579331790907737,-0.16479003872679193,-0.6769743435786448,-0.5702302967463863,-0.7475583564400494,-0.8312262550829568,-0.6600939890822073,-0.7523893862543707,-0.7209988941399011,-0.6420826706435518,-0.6805189661943786,-0.6070365674259,-0.9034354787823774,-0.7239395056910443,-0.6443003399419863,-0.8536138120301154,-0.6971177606652516,-0.7752829993358514,-0.5956706139411585,-0.5613388789761743,-0.5664275737178257
E5.5_sc,-0.7697406629479987,-0.7943501008323223,-1.1739590412438938,-0.006577730439690074,-0.9027477879543705,-0.8106434577371329,-0.6609437050319162,-0.21117866379210157,-0.3366536368717946,-0.8514102463994051,-0.7454974375201353,-0.7416333961393862,-0.7209095840240848,-0.7500847920492794,-0.8917328787563628,-0.6958452659880329,-0.8721429133218453,-0.5099684599298896,-0.6503595853687544,1.274154752197697,-0.5628919698745692,-0.6769743435786448,-0.5702302967463863,-0.7475583564400494,-0.8312262550829568,-0.6600939890822073,-0.7523893862543707,-0.2965012848151599,-0.6420826706435518,-0.6805189661943786,-0.6070365674259,-0.9122119534626432,-0.5810709249556391,-0.6529151631600079,-0.8536138120301154,-0.6971177606652516,-0.07500121241163327,-0.5956706139411585,-0.6093538692842289,-0.5749523163431692
E6.5_sc,-0.09278908722584249,-0.058992765068000455,-0.921454766883764,-0.5871289535276248,-0.8750792423122267,-0.6923328235584604,-0.10852202114806389,-0.4933507773907088,-0.5127064088797164,-0.8514102463994051,-0.7454974375201353,-0.7416333961393862,-0.7209095840240848,-0.7500847920492794,-0.8917328787563628,-0.6958452659880329,-0.8721429133218453,-0.8075714122153062,-0.5056471442014068,-0.34007910064700647,-1.4797916416656378,-0.6769743435786448,-0.5702302967463863,-0.7475583564400494,-0.8312262550829568,-0.6600939890822073,-0.7523893862543707,-0.45778129969856524,-0.6420826706435518,-0.6805189661943786,-0.6070365674259,-0.8989375236612154,-0.42767030153722907,-0.6529151631600079,-0.2058931158731548,-0.6971177606652516,1.195063420773749,-0.5956706139411585,-0.6023559031557567,-0.5749523163431692
