,Ccdc122,Cpb2,Echdc3,Gfra1,Obox2,Rhobtb1,Slco3a1,Thap11,Ust,Gm13078,Gm2016,Gm5662,Gm8300,Obox3,Pramef6,Spz1,Tdpoz1,Cd74,Lysmd1,Parp10,Plk3,Tacr3,Tdpoz3,Tdpoz4,Iqcf1,BC080695,Chrm3,Duoxa2,Fgf7,Gm11487,Gm12794,Gm13083,Hoxa1,Olfr376,Tmem132c,Zfp352,Zfp760,Zscan4c,Zscan4d,Zscan4f
TAW P1,2.4593103430670373,0.7670521085719573,-0.25891665711462586,2.267270817637622,-0.2550848754500838,1.2052058371297298,-0.3334772760133109,0.6590871717838452,0.5195735748554625,-0.19014740690800508,-0.3480676738058472,-0.3464730536406092,1.1719304841715918,-0.38707273537182,-0.3829524098706635,1.5864072700153116,-0.01678934653251446,1.4859389148787148,0.8188211460229466,1.5103212061306888,0.34421571150967345,1.0923460867392802,-0.7358141620752142,-0.23194200828331174,0.5188943844923368,-0.35409643930812484,1.4054217053246616,-0.18507785100337062,-0.3313973910366712,-0.39513559885297894,-0.24886435188951933,-0.3474202462326046,1.6852301102176128,-0.06867090095495201,0.4459813905816494,0.6133027539947887,0.8000594332338608,0.4155124821657066,-0.06105234545354997,0.2683626814895321
TAW P2,0.4256334182526414,2.1189470843689886,2.359272966132281,0.9088611225510244,-0.3405339126653428,1.592067280187961,1.2446365566565516,1.4308499408295299,1.715212090197749,0.5810865822551592,-0.271133386141103,-0.29325063935958706,0.7783849568672793,-0.07090461092945347,-0.099740669789454,1.3238620078057588,2.311029851685763,-0.29213934369635686,1.1926829684058569,0.6559792987946312,-0.2401947995070972,1.1737695787175941,1.7077594350424177,-0.18388164905095306,1.656213667280711,-0.0318347303938065,1.276196795439828,1.8754099351890199,-0.26095167387453144,-0.3615499562292959,1.3632224206415557,0.1397134755696383,1.5716402999918828,1.9300806166495788,1.2664712593972869,1.9667455789975696,-0.07637992670355985,1.5253048484121734,1.299631910130812,1.3519994542711935
TAW P4,0.6630408712012728,1.0696079579745585,0.8381634082855315,0.6931557297177384,-0.25137889118081025,1.4213445938232703,2.3501020045691585,1.4514939854734747,1.6274632507204752,0.06806838534114859,-0.42192114529065955,-0.47652966995701856,-0.052037916555954376,-0.35471474388815516,-0.13736375876096166,0.811504379485194,-0.7165919027649358,-0.38143698798076237,1.1472955348480751,1.75372647181345,-0.376543238464321,-0.07219209158559904,1.7966058932821227,-0.1565444243609946,0.5493696451511536,-0.12460680270721303,0.6593716893801163,1.835494157767551,-0.41654450930547454,-0.34810749210997893,1.5092572601710073,-0.31251044803169126,0.8953295645088039,0.36983646320743296,1.7049840096438715,1.2363696379473768,-0.33034222047905565,0.8391354005752856,0.7323321774209783,0.6320265025102473
2CLC,-0.6686871472854908,-0.3124343267731829,-0.06466385685149026,-0.7210173641381076,-0.39532418906004896,-0.6663613036336012,-0.4995346536926542,0.06762803763926252,-0.025590933963974972,-0.6164415356238659,-0.49276486052360297,-0.5036517782741989,-0.4474127090975888,-0.4969941126723442,-0.4344054920518447,0.39056002613448504,-0.7165919027649358,2.151113264446177,0.5964977498598448,-0.5574606366313224,2.498870636449563,-0.3949333594013248,0.38054859032129906,-0.3553153349142405,1.3649027613233435,-0.4592565697154537,-0.32257304489321525,-0.5378348899369052,-0.43097429159823597,-0.4354673924786694,-0.09248851029526757,-0.44156428885708765,-0.708325138541618,-0.4900994229750752,0.8080615473484538,0.056023408850030466,1.152005061385411,-0.6329039114427535,-0.5297123571760477,-0.6761689063565057
D-EPSC,-0.7258493848358005,-0.7860851250108998,-1.0000856628195498,-0.7926542345308584,-0.3953843303864166,-0.7747219064464309,-0.6466136452184198,-1.176803785141072,-1.0254404706101508,-0.6428941952118162,-0.5627138272720965,-0.5788798515119593,-0.8159582781585027,-0.6312401289313428,-0.45652462102890395,-1.1008994051088166,0.04519600095822708,-0.7504599186390508,-1.2159959710853092,-0.9139308550574515,-0.7934167818593135,-1.0289058086122052,-0.7358141620752142,-0.48566617661846084,-1.004490124892335,-0.4631972521088236,-1.115870113578014,-0.6217334212225045,-0.34544349535269336,-0.4599079429141236,-0.905841065726288,-0.4732502070669628,-0.7330095344780589,-0.9721067304184824,-0.8542518261854669,-1.0014546745709512,-0.9628420725599496,-0.8277300200993334,-0.6940775925307417,-0.7997853331044226
L-EPSC,-0.48636336081009013,-0.7860851250108998,-0.7431539250204917,-0.590077426211005,-0.3953843303864166,-0.7016764000038402,-0.5607132234825419,-0.37090159671291717,-0.6452665407991165,-0.6372010304239395,-0.5755906228338987,-0.6068201510633612,-0.8858225549552415,0.0932717666655346,-0.4556640001481536,-1.1008994051088166,-0.6597938357184702,-0.4427400340815089,-0.2660596197301967,-0.025386297377799093,0.5969811064699456,-0.9592215678381514,-0.6965481677936617,-0.4728783674980101,-1.004490124892335,-0.4716679868053875,-1.0847286381052936,-0.6217334212225045,-0.13676545268933163,-0.46006889123440337,-0.9035998661546718,-0.46270768500533915,-0.6963584771964406,-0.9721067304184824,-0.8502626889425533,-1.0233626725796268,1.8081096603658717,-0.9864672066626784,-0.8814115796787487,-0.9116748159716038
TBLC,-0.709869287307436,-0.6234583657770575,-0.7423712854112146,-0.48328942151559223,-0.3953843303864166,-0.7322470585388127,-0.3901918178886229,-1.1774569020346253,-0.8052928714690372,-0.5799314673867694,0.5412668240516121,0.8169796707043306,1.967873803481891,-0.29322419710059044,-0.3899883670498407,-0.7879550371710167,1.1211997358876609,-0.7489251089064471,-1.2891127324913083,-0.9552260286486809,-0.7869923703759879,-0.6298386690743394,-0.7358141620752142,-0.48566617661846084,-1.004490124892335,-0.43283113865241885,-0.8305220329711085,-0.6217334212225045,2.8152901659185594,0.1164722076099526,-0.9833526594460917,-0.4215780263887216,-0.7247790416105572,-0.4519769790054873,-0.9452655480834211,-0.5536113440342799,-0.06411158162771931,1.4557331549264962,1.9112541917075774,1.8258509889406327
TLSC,-0.760042769810742,-0.7860851250108998,0.2963683946318809,-0.6632751127146728,2.823859189901952,-0.7644552647957873,-0.6306333278066337,-1.1860544277148135,-0.9002271511308731,2.597883645649951,2.673747101221619,2.569925450514397,-0.9605594643575294,2.7567810496739957,2.804790154091004,-0.21150428303169974,-0.7165919027649358,-0.7253627619590775,-1.369402009719639,-0.9294409517782793,-0.7946705824903703,1.7431014862850203,-0.7358141620752142,2.806647099501126,-0.20845097186331704,2.7952235154857,0.9405994603953194,-0.5734648605842027,-0.4499280361358803,2.7872736611476956,1.1688655648068491,2.7816526498076466,-0.7056301219754244,1.464247264511001,-0.9452655480834211,-0.52428615193258,-1.2377353359800547,-0.9921383254237243,-0.8884822022101395,-0.9152896462444619
mESC,-0.1971726824713912,-0.6614590833325645,-0.6846133818323213,-0.6189741107961481,-0.3953843303864166,-0.579155777722489,-0.5335746171235252,0.3021575758773159,-0.4604309478005357,-0.5804229776918626,-0.5428224094060238,-0.5812999774119938,-0.7563983213959462,-0.6159022874458246,-0.4481508353911818,-0.9110755530203989,-0.6510666979858589,-0.29598802406168734,0.38527293388972567,-0.5385822072452369,-0.44824968173209134,-0.9241256552302743,-0.2451091025513216,-0.4347529621566943,-0.8674591117072237,-0.4577325957944723,-0.9278958209922928,-0.549326227764578,-0.44328531592574155,-0.4435085949381981,-0.9071987921075733,-0.46233522379487746,-0.5840976609162006,-0.8092035805955341,-0.6304525956763998,-0.7697265366723274,-1.0887630176348033,-0.7964464224511737,-0.8884822022101395,-0.7753209255346124
