,8_sc,zygote_sc,early2C_sc,mid2C_sc,late2C_sc,4C_sc,16C_sc,midblast_sc,earlyblast_sc,lateblast_sc,D.EPSCs_sc,L.EPSCs_sc,TBLC_sc,ES_sc,2CLC_ref1
Cyfip2,5.351293,38.87847,53.84056,12.191791,20.029135,8.808003999999999,0.61087877,4.1377873,3.2032375,3.2996342000000003,11.087273,5.7668004,4.739175,2.9541495,4.56363
Cyp26a1,381.60254,0.10809016,0.2664839,1.9071392,2.1483482999999994,0.0,0.0031999059999999,0.005767711,0.019932669,1.3483399,1.9197959,0.92144465,4.201196700000001,0.029436702,1.84359
Cyp2r1,0.75688004,5.222288,6.201350700000001,12.600471,5.5392876,0.0,0.008920604,0.092192516,0.0064778469999999,0.008281373,2.1724925,2.6650681,0.8735194,0.66582453,0.3220437
Cyp39a1,0.7164663,32.91771,49.608913,42.345387,38.594784,1.3863522,0.004245268,0.098381355,0.0028158085999999,0.24441522,4.303162,1.6450087,0.7968251000000001,2.2060573,1.09482
Cyp4f16,8.122736999999999,0.0,0.0,0.0,0.08139612,0.0,0.49032325,6.358517,0.20985302,0.9546453,10.6195755,8.88862,11.739593,12.248569,4.69238
Cyp4v3,0.34500778,9.138443,17.562584,9.661736,4.0233607000000005,0.009947071,0.09360477,0.011469837,0.0,0.0,0.0,0.10000005,0.35840914,0.0,0.0323085
Cyp7b1,4.857591,6.75885,7.975846000000001,8.673119,9.737132,2.1250799,0.0072912182999999,0.0286745929999999,0.0,0.0,1.6148791,1.5036067,1.3547097,0.5447875,0.953422
D030018L15Rik,0.026917154,16.21463,15.179303,7.092291,1.3969193000000002,0.048785783,0.003140023,1.5637581,0.7706301,0.0,0.042456303,0.025861276,0.12562309,0.0,0.0020352
D1Ertd622e,3.9786618,353.94415,381.51837,228.68642000000003,93.038864,26.59905,23.605919,3.666225700000001,4.1308284,2.0339758000000003,6.880153,2.621494,8.198536,1.9018049,2.66643
D6Ertd527e,0.27743095,3796.705,4166.2026,728.47876,198.90651,12.125074,123.566086,8.5864,0.0,0.011322981,0.08165796,0.3977290999999999,0.28429627,0.14561446,0.0759211
